,School,School website,Number of positions,Position detail link,Post date,Position,Specialization,Deadline
71,Indiana University - Department of Criminal Justice,https://criminaljustice.indiana.edu/,1 ,http://www.asc41.com/dir3/ads/indiana0718.pdf,7/25/18 - 9/25/18,Professor and Chair,Criminal Justice - related discipline,"October 1, 2018"
72,CSU Northridge,http://www.csun.edu/social-behavioral-sciences/criminology-justice-studies,1 ,http://www.asc41.com/dir3/ads/csun0718.pdf,7/25/18 - 11/25/18,"Tenure Track Faculty, Assistant Professor",Corrections,Open until filled
73,Northern Arizona University,http://nau.edu/Human-Resources/Careers/Faculty-and-Administrator-Openings/,1 ,http://www.asc41.com/dir3/ads/nau0718.pdf,7/25/18 - 9/25/18,"The NARBHA Institute, James Wurgler MD Chair of Criminal Justice and Behavioral Health",Criminal Justice Behavioral Health,Open until filled
74,University of Denver,http://www.du.edu/ahss/sociology,1 ,http://www.asc41.com/dir3/ads/du0718.pdf,7/23/18 - 9/23/18,Assistant Professor of Criminology,"Crime, Law and/or (in)justice","September 10, 2018"
75,"University of California, Irvine",https://recruit.ap.uci.edu/apply/JPF04583,1 ,http://www.asc41.com/dir3/ads/uci0718.pdf,7/20/18 - 9/20/18,Assistant Professor,Open,"September 15, 2018"
76,Old Dominion University,https://jobs.odu.edu/,2 ,http://www.asc41.com/dir3/ads/odu0718.pdf,7/20/18 - 9/20/18,Assistant Professor in Criminology & Criminal Justice,"Criminology and Public Policy, Criminological Theory, Research Methods, Capstone Research Project (undergrad), and/or Inequality","September 1, 2018"
77,Sam Houston State University,http://www.shsu.edu/academics/criminal-justice-old/departments/criminal-justice-and-criminology/index.html,Multiple ,http://www.asc41.com/dir3/ads/shsu0718.pdf,7/5/18 - 10/5/18,Open Rank Tenure Track Positions,Criminal Justice & Criminology- Open,Open
78,Villanova University,http://www1.villanova.edu/villanova/artsci/sociology.html,1 ,http://www.asc41.com/dir3/ads/villanova0618.pdf,7/1/18 - 10/15/18,Assistant Professor,"Sociology of Crime, Law, and Deviance; Criminology","October 15, 2018"
79,The University of Scranton,http://www.scranton.edu,1 ,http://www.asc41.com/dir3/ads/scranton0618.pdf,6/29/18 - 12/29/18,Assistant Professor,"Cybercrime, Cybersecurity, and Terrorism",Open until filled
80,St. Thomas Aquinas College,http://www.stac.edu,1 ,http://www.asc41.com/dir3/ads/stac0618.pdf,6/29/18 - 9/29/18,Assistant Professor of Criminal Justice (tenure track),Criminal Justice,Open until position filled
81,Florida Atlantic University,http://fau.edu,1 ,http://www.asc41.com/dir3/ads/fau0618.pdf,6/7/18 - 11/7/18,Director and Professor,"Criminology, Criminal Justice","December 18, 2018"
